,MiTFg,NGFR,Sox10,AXL,timepoint_id,Timepoint,drug_id,Drugs,dose_id,Doses,Rep
0,3.97407777,3.128171758,3.686878076,3.536432023,1,0.5 h,1,Vem,1,0 uM,1
1,3.595271182,3.105525822,3.668113672,3.73279354,1,0.5 h,1,Vem,1,0 uM,1
2,4.097995627,3.146135664,3.781691971,3.60900131,1,0.5 h,1,Vem,1,0 uM,1
3,3.725713365,2.968829511,3.700307744,3.223875684,1,0.5 h,1,Vem,1,0 uM,1
4,3.805542527,3.136195587,3.755306989,3.600570921,1,0.5 h,1,Vem,1,0 uM,1
5,3.586808259,3.126681959,3.529465424,3.528130741,1,0.5 h,1,Vem,1,0 uM,1
6,3.771087106,2.983925001,3.702089904,3.553520419,1,0.5 h,1,Vem,1,0 uM,1
7,3.486831715,2.899983642,3.54096782,3.736374638,1,0.5 h,1,Vem,1,0 uM,1
8,4.138780986,3.127898271,3.85118099,3.808036552,1,0.5 h,1,Vem,1,0 uM,1
9,3.586487894,3.124720249,3.496969431,3.865359449,1,0.5 h,1,Vem,1,0 uM,1
10,4.009018127,3.199586483,3.820567787,3.756031114,1,0.5 h,1,Vem,1,0 uM,1
11,3.726896143,3.105593509,3.690454457,3.655837083,1,0.5 h,1,Vem,1,0 uM,1
12,3.72446259,3.066531213,3.680511457,3.977498358,1,0.5 h,1,Vem,1,0 uM,1
13,3.71900821,3.00931268,3.523520962,3.439672257,1,0.5 h,1,Vem,1,0 uM,1
14,3.508273705,2.859225083,3.607689058,3.302649069,1,0.5 h,1,Vem,1,0 uM,1
15,3.603697806,2.999425265,3.679179306,3.494703768,1,0.5 h,1,Vem,1,0 uM,1
16,3.783540423,3.239450068,3.506411851,4.08174276,1,0.5 h,1,Vem,1,0 uM,1
17,3.490255233,3.215134787,3.418246191,3.905878415,1,0.5 h,1,Vem,1,0 uM,1
18,3.798047573,3.067679434,3.765421288,3.709089614,1,0.5 h,1,Vem,1,0 uM,1
19,3.80486646,3.319374335,3.810706892,3.531544257,1,0.5 h,1,Vem,1,0 uM,1
20,3.824321083,3.013487985,3.640794763,3.435527246,1,0.5 h,1,Vem,1,0 uM,1
21,3.63823138,2.947497592,3.568758291,3.498899583,1,0.5 h,1,Vem,1,0 uM,1
22,3.525556417,3.015316029,3.381380188,3.653142257,1,0.5 h,1,Vem,1,0 uM,1
23,3.599435991,2.995380163,3.415983134,3.41665713,1,0.5 h,1,Vem,1,0 uM,1
24,3.941389307,3.230388972,3.737485184,3.460090194,1,0.5 h,1,Vem,1,0 uM,1
25,3.445078982,3.082140286,3.5300619,3.953243533,1,0.5 h,1,Vem,1,0 uM,1
